,HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
1652,2,0,26.3,1.59,5.743,6.858,7.261,7.416,-7.195,7.619,1.842,0.425,-15.45,41.85,0.0017,0.0052,0.0093,0.0377,7351,CC(COC(=O)C(C)C)C
1653,3,3,66.48,3.29,4.913,5.225,5.241,5.41,-5.948,5.763,1.473,-0.185,119.66,46.91,0.064,0.0008,0.0629,0.0081,4087,C[C@@H]([C@@H](c1cccc(c1)O)O)N
1654,1,1,20.23,1.46,6.425,7.321,7.44,7.579,-7.051,8.827,1.167,1.777,3.74,27.35,0.022,0.0048,0.0086,0.0025,6405,CCC(O)(C)C
1655,4,2,102.64,1.2,4.456,4.567,5.142,5.282,-6.289,5.685,1.686,-0.604,101.2,41.94,0.0085,0.0026,0.0009,0.0007,2915,NCCSSCCN
1656,4,2,72.19,2.27,4.677,5.223,5.594,5.936,-6.574,5.625,1.629,-0.95,120.53,41.59,0.0176,0.161,0.0471,0.0018,7214,CC/C(=C\C)/[C](/N=C(/O)\[NH])O
1657,2,0,26.3,2.03,4.373,4.452,4.523,5.537,-6.362,4.637,1.873,-1.725,37.95,47.43,0.6878,0.0004,0.0112,0.1535,7644,COC(=O)/C=C/c1ccccc1
1658,4,2,86.18,5.12,4.774,4.924,5.053,5.381,-6.855,5.516,1.285,-1.339,183.94,42.63,0.023,0.0142,0.0707,0.0211,6956,OC(=N)c1ccccc1C(=N)O
1659,6,4,112.65,3.55,5.408,5.602,5.884,6.065,-6.555,6.615,-0.225,0.06,207.98,34.36,0.002,0.0021,0.0028,0.0023,3484,O[N][C](CC[C@@H](C(=O)O)N)O
1660,2,1,37.3,4.3,5.72,6.521,7.575,7.706,-7.415,7.668,0.091,0.253,53.25,13.5,0.001,0.0222,0.0042,0.0165,176,CC(=O)O
1661,2,2,32.26,2.93,5.788,6.328,6.482,6.553,-6.389,8.381,0.368,1.992,19.9,30.11,0.0071,0.0633,0.045,0.0028,7994,OCCNC(C)C
1662,6,4,115.06,2.44,5.481,5.511,6.234,6.271,-7.823,7.026,-2.123,-0.797,166.32,27.21,0.0011,0.0,0.0009,0.0059,875,O[C@@H]([C@@H](C(=O)O)O)C(=O)O
1663,4,1,55.4,3.98,3.793,4.521,4.628,4.68,-5.701,4.438,1.686,-1.263,84.77,57.06,0.0019,0.0003,0.0756,0.0105,7078,COc1ccccc1/N=C(\CC(=O)C)/O
1664,4,3,90.42,3.46,5.229,5.595,5.826,6.001,-5.978,7.608,1.1,1.63,154.71,37.96,0.0019,0.0129,0.0056,0.0013,199,NCCCCNC(=[NH2])[NH]
1665,1,1,12.03,1.03,5.299,6.043,6.193,6.509,-5.853,8.215,0.227,2.362,3.27,14.53,0.0017,0.0324,0.0053,0.0783,674,CNC
1666,1,0,17.07,2.49,4.331,6.526,7.009,7.138,-6.849,6.351,1.766,-0.498,5.16,31.16,0.0002,0.0329,0.0357,0.005,6184,CCCCCC=O
1667,2,0,26.3,1.77,5.73,7.002,7.277,7.306,-7.148,7.592,2.376,0.444,-16.11,46.66,0.0019,0.0157,0.0242,0.0127,7795,CCCC(=O)OCCC(C)C
1668,0,0,0.0,0.64,5.598,5.621,5.81,5.932,-6.06,6.789,4.725,0.729,27.33,68.78,0.0046,0.0151,0.0693,0.0015,6887,C/C/1=C/CCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C
1669,1,0,28.24,0.63,5.727,5.764,5.813,5.986,-6.335,6.128,1.748,-0.207,1.54,24.32,0.1017,0.0073,0.0897,0.0,8030,c1cccs1
1670,1,0,17.07,2.73,4.246,6.401,6.73,6.745,-6.765,6.218,3.326,-0.547,2.51,50.38,0.0001,0.0055,0.0143,0.0263,8175,CCCCCCCCCC=O
1671,4,2,58.2,3.44,5.265,5.288,5.55,6.14,-6.585,6.025,0.262,-0.561,115.18,38.3,0.0027,0.0354,0.0031,0.0024,6491,O[C]1=[N]=C(C(N=1)(C)C)O
1672,3,0,51.75,2.98,7.044,7.543,7.792,7.832,-7.913,9.091,0.673,1.178,-0.87,21.78,0.0014,0.0133,0.0008,0.0077,4156,COS([O])([O])C
1673,2,2,47.7,4.64,3.535,3.874,3.968,4.188,-6.31,4.259,3.302,-2.052,135.44,66.88,0.0439,0.0098,0.0308,0.0088,2981,[NH]c1c([NH])c2ccccc2c2c1cccc2
1674,3,2,57.53,3.47,3.859,5.471,5.598,5.737,-6.49,5.336,0.152,-1.154,60.52,31.3,0.0001,0.0913,0.1807,0.0977,361,O[C@H]1CC(=CC(=O)C1)O
1675,1,1,20.23,1.37,4.934,5.066,5.524,5.682,-5.763,5.802,2.906,0.038,46.13,47.85,0.0314,0.0001,0.0021,0.0797,7453,CC[C@H](c1ccc(cc1)O)C
1676,2,2,40.46,2.92,4.363,4.768,5.691,5.763,-6.308,5.037,-0.166,-1.271,52.83,30.22,0.0386,0.0816,0.0009,0.0264,418,O[C@H]1C=CC=C[C@@H]1O
1677,2,1,29.46,2.34,6.773,6.808,7.161,7.19,-6.98,9.255,0.014,2.275,-15.57,23.59,0.0191,0.0144,0.007,0.0069,7900,COC[C@@H](O)C
1678,1,0,17.07,2.68,3.532,4.16,4.717,5.172,-6.378,5.018,4.46,-1.361,31.85,75.43,0.0002,0.0013,0.0097,0.3769,6612,C=CCCC(=O)/C=C/[C@H]1C(=CCCC1(C)C)C
1679,2,2,38.05,0.7,4.65,4.905,5.268,5.431,-5.44,5.54,1.746,0.101,92.78,33.65,0.0386,0.0265,0.0257,0.1173,7516,NNc1ccccc1
1680,3,1,54.37,3.08,2.612,2.931,3.094,3.745,-6.637,3.646,1.327,-2.991,147.45,46.27,0.0,0.0,0.072,0.0099,3806,O=C1C=CC(=O)c2c1c(O)ccc2
1681,1,0,17.07,2.64,4.207,5.111,5.34,5.602,-6.623,5.84,1.989,-0.784,37.55,41.22,0.0047,0.017,0.0264,0.0472,7146,O=C[C@@H](c1ccccc1)C
1682,3,0,32.67,7.51,1.62,3.618,4.133,4.259,-5.249,3.284,2.151,-1.965,40.75,46.1,0.0003,0.4346,0.0,0.0028,8749,O=Nc1ccc(cc1)N(C)C
1683,1,1,38.8,1.97,5.249,5.864,6.413,6.45,-6.34,7.138,2.106,0.797,-5.64,34.08,0.0112,0.0321,0.01,0.0021,8067,CCCCCS
1684,1,0,17.07,3.22,4.195,5.98,6.316,6.401,-6.34,6.038,2.792,-0.302,33.44,48.01,0.0001,0.0076,0.0064,0.0076,7392,CC(C1CCC(=O)CC1)(C)C
